State,x,y
Ladakh,-99,318
Himachal Pradesh,-103,244
Punjab,-148,215
Uttarakhand,-70,204
Haryana,-126,178
Uttar Pradesh,-39,119
Rajasthan,-200,113
Madhya Pradesh,-111,19
Gujarat,-239,26
Chhattisgarh,-6,-16
Bihar,85,88
Jharkhand,72,39
Odisha,53,-41
West Bengal,126,21
Sikkim,145,158
Assam,220,114
Meghalaya,205,86
Arunanchal Pradesh,272,169
Nagaland,320,106
Manipur,307,65
Mizoram,255,-7
Tripura,226,17
Telangana,-83,-124
Andhra Pradesh,-97,-196
Tamil Nadu,-96,-302
Kerala,-157,-327
Karnataka,-165,-199
Maharashtra,-165,-68
Goa,-205,-176
Delhi,-83,166
Jammu And Kashmir,-158,292
Andaman And Nicobar,249,-307
Chandigarh,-108,213
Daman And Diu,-275,-48
Dadra And Nagar Haveli,-293,-82
Lakshadweep,-259,-244
Puducherry,-23,-265
